	pct.rtd	SCM	num.SCMs	log.rem	wet.exceedances	dry.exceedances	GM.exceedances	mass.load
1	100	BR-rev	1.00E+05	3	0.611111111	0	0	6.93546E+18
2	100	BR-rev	1.00E+05	1.5	0.833333333	0	0	2.19E+20
3	100	BR-rev	1.00E+05	2	0.833333333	0	0	6.93546E+19
4	100	BR-rev	1.00E+05	-0.25	0.888888889	0	0	1.23E+22
5	100	BR-rev	1.00E+05	0	0.888888889	0	0	6.94E+21
6	100	BR-rev	1.00E+05	0.25	0.888888889	0	0	3.90E+21
7	100	BR-rev	1.00E+05	0.5	0.888888889	0	0	2.19E+21
8	100	BR-rev	1.00E+05	0.75	0.888888889	0	0	1.23E+21
9	100	BR-rev	1.00E+05	1	0.888888889	0	0	6.94E+20
10	100	BR-rev	1.00E+05	-0.5	0.944444444	0	0	2.19E+22
11	100	BR-rev	75000	3	1	0	0	1.2844E+19
12	100	BR-rev	75000	2	1.111111111	0	0	1.28E+20
13	100	BR-rev	75000	1.5	1.222222222	0	0	4.06E+20
14	100	BR-rev	75000	-0.25	1.333333333	0	0	2.28E+22
15	100	BR-rev	75000	0	1.333333333	0	0	1.28E+22
16	100	BR-rev	75000	0.25	1.333333333	0	0	7.22E+21
17	100	BR-rev	75000	0.5	1.333333333	0	0	4.06E+21
18	100	BR-rev	75000	0.75	1.333333333	0	0	2.28E+21
19	100	BR-rev	75000	1	1.333333333	0	0	1.28E+21
20	100	BR-rev	75000	-0.5	1.388888889	0	0	4.06E+22
21	100	BR-rev	50000	3	1.722222222	0	0	2.15522E+19
22	100	BR-rev	50000	2	2	0	0	2.12E+20
23	100	BR-rev	50000	1.5	2.166666667	0	0	6.71E+20
24	100	BR-rev	50000	0	2.277777778	0	0	2.12E+22
25	100	BR-rev	50000	0.25	2.277777778	0	0	1.19E+22
26	100	BR-rev	50000	0.5	2.277777778	0	0	6.70E+21
27	100	BR-rev	50000	0.75	2.277777778	0	0	3.77E+21
28	100	BR-rev	50000	1	2.277777778	0	0	2.12E+21
29	100	BR-rev	50000	-0.5	2.333333333	0	0	6.70E+22
30	100	BR-rev	50000	-0.25	2.333333333	0	0	3.77E+22
31	100	BR-rev	25000	3	4.111111111	0	0	5.04E+19
32	100	BR-rev	25000	2	4.888888889	0	0	2.98E+20
33	100	BR-rev	25000	1.5	5.5	0	0	8.92E+20
34	100	BR-rev	25000	1	5.666666667	0	0	2.77E+21
35	100	BR-rev	25000	-0.5	5.777777778	0	0	8.70E+22
36	100	BR-rev	25000	-0.25	5.777777778	0	0	4.89E+22
37	100	BR-rev	25000	0	5.777777778	0	0	2.75E+22
38	100	BR-rev	25000	0.25	5.777777778	0	0	1.55E+22
39	100	BR-rev	25000	0.5	5.777777778	0	0	8.72E+21
40	100	BR-rev	25000	0.75	5.777777778	0	0	4.91E+21
41	100	BR-rev	10000	3	8.444444444	0	0	1.67E+22
42	100	BR-rev	7500	3	10.22222222	0	0	2.13E+22
43	100	BR-rev	10000	2	11.05555556	0	0	1.69E+22
44	100	BR-rev	10000	1.5	11.66666667	0	0	1.73E+22
45	100	BR-rev	10000	1	11.94444444	0	0	1.85E+22
46	100	BR-rev	10000	0.75	12	0	0	1.99E+22
47	100	BR-rev	10000	0.25	12.05555556	0	0	2.66E+22
48	100	BR-rev	10000	0.5	12.05555556	0	0	2.23E+22
49	100	BR-rev	10000	-0.5	12.11111111	0	0	7.25E+22
50	100	BR-rev	10000	-0.25	12.11111111	0	0	4.81E+22
51	100	BR-rev	10000	0	12.11111111	0	0	3.44E+22
52	100	BR-rev	7500	2	12.94444444	0	0	2.14E+22
53	100	BR-rev	5000	3	13.27777778	0.166666667	0	2.64E+22
54	100	BR-rev	7500	1.5	13.5	0	0	2.17E+22
55	100	BR-rev	7500	1	13.77777778	0	0	2.27E+22
56	100	BR-rev	7500	0.75	13.83333333	0	0	2.39E+22
57	100	BR-rev	7500	0.25	13.88888889	0	0	2.94E+22
